"model","iteration","corr_iter","MAF","gen"
"RKHS",7,0.270923752888637,0.005,"all"
"RKHS",8,0.270527323054922,0.005,"all"
"RKHS",9,0.27324439206386,0.005,"all"
"RKHS",10,0.269733162690261,0.005,"all"
"BB",1,0.37389435332129,0.01,"all"
"BB",2,0.372423135406389,0.01,"all"
"BB",3,0.371077010408582,0.01,"all"
"BB",4,0.373237900669832,0.01,"all"
"BB",5,0.373167160242255,0.01,"all"
"BB",6,0.373415449351552,0.01,"all"
"BB",7,0.371325296863832,0.01,"all"
"BB",8,0.370668694682556,0.01,"all"
"BB",9,0.375858760848208,0.01,"all"
"BB",10,0.369594315991924,0.01,"all"
"BRR",1,0.253612211717869,0.01,"all"
"BRR",2,0.252120757291575,0.01,"all"
"BRR",3,0.253554867106919,0.01,"all"
"BRR",4,0.253298101382841,0.01,"all"
"BRR",5,0.251893199928317,0.01,"all"
"BRR",6,0.251274408664074,0.01,"all"
"BRR",7,0.251579208808951,0.01,"all"
"BRR",8,0.253634747564657,0.01,"all"
"BRR",9,0.25532551582803,0.01,"all"
"BRR",10,0.254327981650134,0.01,"all"
"EGBLUP",1,0.249375463915616,0.01,"all"
"EGBLUP",2,0.249285851982723,0.01,"all"
"EGBLUP",3,0.248535449383634,0.01,"all"
"EGBLUP",4,0.2481973172184,0.01,"all"
"EGBLUP",5,0.24792275284302,0.01,"all"
"EGBLUP",6,0.247443258051466,0.01,"all"
"EGBLUP",7,0.248553901045372,0.01,"all"
"EGBLUP",8,0.247728052314231,0.01,"all"
"EGBLUP",9,0.24849287361458,0.01,"all"
"EGBLUP",10,0.24707539319793,0.01,"all"
"GB",1,0.398715619094242,0.01,"all"
"GB",2,0.401116356629304,0.01,"all"
"GB",3,0.400422466842288,0.01,"all"
"GB",4,0.399052435570467,0.01,"all"
"GB",5,0.398991532605363,0.01,"all"
"GB",6,0.393981372559537,0.01,"all"
"GB",7,0.39543438366036,0.01,"all"
"GB",8,0.400299700008406,0.01,"all"
"GB",9,0.401138727371783,0.01,"all"
"GB",10,0.406851973824459,0.01,"all"
"GBLUP",1,0.247560042726631,0.01,"all"
"GBLUP",2,0.247560042726631,0.01,"all"
"GBLUP",3,0.247560042726631,0.01,"all"
"GBLUP",4,0.247560042726631,0.01,"all"
"GBLUP",5,0.247560042726631,0.01,"all"
"GBLUP",6,0.247560042726631,0.01,"all"
"GBLUP",7,0.247560042726631,0.01,"all"
"GBLUP",8,0.247560042726631,0.01,"all"
"GBLUP",9,0.247560042726631,0.01,"all"
"GBLUP",10,0.247560042726631,0.01,"all"
"LASSO",1,0.259615726133049,0.01,"all"
"LASSO",2,0.258302502665096,0.01,"all"
"LASSO",3,0.256780417269526,0.01,"all"
"LASSO",4,0.25654103670072,0.01,"all"
"LASSO",5,0.255040396185524,0.01,"all"
"LASSO",6,0.256521092899006,0.01,"all"
"LASSO",7,0.255217646313852,0.01,"all"
"LASSO",8,0.258458279187856,0.01,"all"
"LASSO",9,0.260876677735909,0.01,"all"
"LASSO",10,0.256803635574958,0.01,"all"
"LR",1,0.354820688958683,0.01,"all"
"LR",2,0.357297984748037,0.01,"all"
"LR",3,0.352384890825055,0.01,"all"
"LR",4,0.349021194700963,0.01,"all"
"LR",5,0.35731351531237,0.01,"all"
"LR",6,0.351160166350417,0.01,"all"
"LR",7,0.354109422100723,0.01,"all"
"LR",8,0.354119625324462,0.01,"all"
"LR",9,0.3546327810475,0.01,"all"
"LR",10,0.358784746240029,0.01,"all"
"RF",1,0.269359135778858,0.01,"all"
"RF",2,0.277046013013641,0.01,"all"
"RF",3,0.273952667412436,0.01,"all"
"RF",4,0.272693556159911,0.01,"all"
"RF",5,0.267957506579498,0.01,"all"
"RF",6,0.260866371649326,0.01,"all"
"RF",7,0.273506728905457,0.01,"all"
"RF",8,0.27772231203503,0.01,"all"
"RF",9,0.271454715291753,0.01,"all"
"RF",10,0.273677039961938,0.01,"all"
"RKHS",1,0.27071230483524,0.01,"all"
"RKHS",2,0.269215189579873,0.01,"all"
"RKHS",3,0.272787463785617,0.01,"all"
"RKHS",4,0.267842477106609,0.01,"all"
"RKHS",5,0.266118037496872,0.01,"all"
"RKHS",6,0.271796094238769,0.01,"all"
"RKHS",7,0.26929235257397,0.01,"all"
"RKHS",8,0.268261498292233,0.01,"all"
"RKHS",9,0.270432528819025,0.01,"all"
"RKHS",10,0.2725925601389,0.01,"all"
"BB",1,0.378439674783008,0.05,"all"
"BB",2,0.380070257741486,0.05,"all"
"BB",3,0.379062288524049,0.05,"all"
"BB",4,0.38330085399854,0.05,"all"
"BB",5,0.381482596822587,0.05,"all"
"BB",6,0.377197103353433,0.05,"all"
"BB",7,0.378628534991506,0.05,"all"
"BB",8,0.379463198726786,0.05,"all"
"BB",9,0.381168514430789,0.05,"all"
"BB",10,0.379293951078835,0.05,"all"
"BRR",1,0.242275995035665,0.05,"all"
"BRR",2,0.242572770623276,0.05,"all"
"BRR",3,0.241470821512783,0.05,"all"
"BRR",4,0.24250437381839,0.05,"all"
"BRR",5,0.241840520601876,0.05,"all"
"BRR",6,0.240785302463449,0.05,"all"
"BRR",7,0.240708137115399,0.05,"all"
"BRR",8,0.241051938582968,0.05,"all"
"BRR",9,0.241095764658127,0.05,"all"
"BRR",10,0.24062849294201,0.05,"all"
"EGBLUP",1,0.234495436176044,0.05,"all"
"EGBLUP",2,0.235857771666985,0.05,"all"
"EGBLUP",3,0.236512840572405,0.05,"all"
"EGBLUP",4,0.235029302784064,0.05,"all"
"EGBLUP",5,0.237099789841261,0.05,"all"
"EGBLUP",6,0.23531645045007,0.05,"all"
"EGBLUP",7,0.234982577834014,0.05,"all"
"EGBLUP",8,0.235382308074845,0.05,"all"
"EGBLUP",9,0.234371746949557,0.05,"all"
"EGBLUP",10,0.235403365086384,0.05,"all"
"GB",1,0.399851839198931,0.05,"all"
"GB",2,0.401760569546505,0.05,"all"
"GB",3,0.401547589040451,0.05,"all"
"GB",4,0.399475277747589,0.05,"all"
"GB",5,0.400818761610574,0.05,"all"
"GB",6,0.394894863824718,0.05,"all"
"GB",7,0.396425332161666,0.05,"all"
"GB",8,0.401172170328953,0.05,"all"
"GB",9,0.402859719542604,0.05,"all"
