"ID","Status","LR","LR_SD","RF","RF_SD","GB","GB_SD","GBLUP","GBLUP_SD","LASSO","LASSO_SD","RKHS","RKHS_SD","EGBLUP","EGBLUP_SD","BRR","BRR_SD","BayesB","BayesB_SD","MAF"
"B-12",0,0.553456984750455,0.0120462951896976,0.522376421130513,0.0026963871569008,0.539873647689819,0.015544759943475,0.494,0,0.4652,0.0111135552867258,0.4728,0.0141169716614042,0.461383,0.00617232182137862,0.4603,0.00588878406615303,0.5011,0.024964196584531,0.05
"B-121",1,0.603079331857655,0.0047451081538649,0.533421466534063,0.00362278581491904,0.593974089622498,0.0114412464792915,0.551,0,0.5272,0.0080663911798689,0.5203,0.00910494371207204,0.520183,0.00891476434536178,0.5206,0.00666999916708308,0.6283,0.0113436227801253,0.05
"B-122",0,0.605297046620596,0.00901620000190058,0.533873550486319,0.00402854468542312,0.589096212387085,0.0123603085125973,0.506,0,0.4961,0.0109387181861293,0.5035,0.00759019835782381,0.497079,0.00926912731119338,0.4975,0.005038738819277,0.6227,0.00940508136889606,0.05
"B-123",1,0.573594306492833,0.0117119898007042,0.522063056338916,0.00468939062416481,0.557728332281113,0.0171755245181361,0.519,0,0.526,0.00618241233033047,0.5196,0.0121216060542048,0.506572,0.00833581003195784,0.5224,0.00542012709978076,0.5658,0.0159638480462714,0.05
"B-124",1,0.598759304465617,0.0145647926774421,0.524054172194108,0.00407097626256817,0.580963855981827,0.0120248258084712,0.506,0,0.476,0.00573488351136175,0.4925,0.00973253421377096,0.469481,0.00808663430881132,0.4786,0.00474224513167433,0.5752,0.0173960404179291,0.05
"B-125",0,0.328520562927695,0.0113182872087813,0.520142584499212,0.00388771190415767,0.361011651158333,0.0141263750156979,0.445,0,0.398,0.0156489261257407,0.4337,0.0120558883722621,0.431101,0.00881790659208107,0.4089,0.00819823829314023,0.2116,0.0216702561129305,0.05
"B-126",1,0.586510059197523,0.0133269023098055,0.53006694348835,0.00372897734257249,0.565147054195404,0.0159185826792466,0.518,0,0.5034,0.00494862494930551,0.5097,0.0127283585395412,0.505046,0.00678164712866851,0.5039,0.00504314716554389,0.6013,0.0154994623562669,0.05
"B-13",0,0.572168254832314,0.0147241159795306,0.521118461610712,0.00297135309036801,0.529513514041901,0.018929512382792,0.465,0,0.5075,0.00840965054102858,0.5005,0.011037813793199,0.496751,0.00889611082315063,0.5014,0.0039496835316263,0.6014,0.0155577776190703,0.05
"B-131",1,0.602552241815364,0.00773590045625512,0.525523044356442,0.00579247813198571,0.59317324757576,0.0157703380572916,0.493,0,0.5098,0.0090160350980289,0.5057,0.0093814237251662,0.498436,0.01066060160904,0.5045,0.00564210362660359,0.589,0.0141185457230316,0.05
"B-132",0,0.599067334508906,0.00865318137992081,0.527023747322432,0.00505297497320428,0.579463225603104,0.0128802528914005,0.519,0,0.5326,0.00836925590745346,0.5259,0.00660723509159131,0.513627,0.0109251311204946,0.5317,0.00533437489829461,0.5895,0.00907070988279186,0.05
"B-133",1,0.5856711618914,0.00973786088660622,0.525143956229311,0.0057623033782822,0.566104161739349,0.0108226245770484,0.492,0,0.5225,0.0100360461448831,0.5213,0.0167335325353349,0.507103,0.00854477624698921,0.5215,0.00452769256906871,0.6491,0.0170974332056664,0.05
"B-134",1,0.585094388134211,0.00770416940483657,0.519047092450406,0.00337601142081023,0.535507053136826,0.0184942930659172,0.473,0,0.4805,0.00933630904944061,0.494,0.00917726659862414,0.484288,0.0101273181708354,0.4811,0.00284604989415154,0.5786,0.0128253221748574,0.05
"B-135",1,0.603273711212525,0.00603445113850718,0.529881322679981,0.00398941498464759,0.587238425016403,0.0128057500750126,0.452,0,0.4719,0.00884998430632631,0.4735,0.0126513064762322,0.470857,0.0064053572196335,0.4708,0.00578887822562463,0.5683,0.0108837289361484,0.05
"B-136",1,0.59878765755649,0.00903749129021459,0.531584724135383,0.00470220283826082,0.57882873415947,0.0150044331382785,0.478,0,0.4766,0.00661983551323008,0.4909,0.0100493228074776,0.482086,0.00839592123196338,0.479,0.00849836585598796,0.59,0.0120922380981447,0.05
"B-137",0,0.593103512467682,0.0122188275240858,0.52338114915157,0.00610008806211565,0.553089076280594,0.0109051523044531,0.58,0,0.5755,0.0115974135047432,0.5679,0.0107543272944222,0.550482,0.00469864472185568,0.57,0.00683130051063972,0.615,0.0192296068024746,0.05
"B-14",0,0.601379848042483,0.00764846975552095,0.530842206885555,0.00327176839426059,0.579334050416946,0.00913804035717752,0.489,0,0.5069,0.0078944424896393,0.4986,0.0148413835833007,0.495474,0.0127087041038809,0.5007,0.00368329562574967,0.6288,0.0137258879494188,0.05
"B-140",0,0.536575115886715,0.0268438375053246,0.5209931688175,0.00387325058421971,0.504299220442772,0.0247562845443637,0.536,0,0.5364,0.0125804080484962,0.519,0.0115373788665845,0.521981,0.00930687493797523,0.5416,0.00735149266778146,0.5174,0.030768670935078,0.05
"B-141",0,0.301228376354133,0.016424013254611,0.524384456850118,0.00361585453600603,0.325238734483719,0.0181020234219328,0.536,0,0.5528,0.00674619234169255,0.5536,0.015269432063949,0.541186,0.00769187334500223,0.5551,0.00486369772452561,0.1928,0.0187959806578132,0.05
"B-142",1,0.58632443721893,0.0121366162896944,0.53286294952686,0.00508730865814247,0.587908273935318,0.0102179221796984,0.573,0,0.5768,0.00829725523558511,0.5767,0.0138407610580729,0.551311,0.0126588032170853,0.5784,0.00569990253327975,0.5765,0.0223867520347787,0.05
"B-143",1,0.544643742842393,0.0178362090919802,0.524750301508189,0.00353173783976261,0.538258028030395,0.0149963765473196,0.511,0,0.5498,0.00692499498595888,0.527,0.0089938250421547,0.53232,0.012747643791,0.5463,0.00600092585449205,0.5622,0.00922315925627797,0.05
"B-144",1,0.599492828450809,0.00571099032576386,0.523072612823617,0.00584309974538307,0.577873182296753,0.017443917823607,0.482,0,0.4709,0.00929097531060232,0.4898,0.00795543140809403,0.482404,0.00944097240754363,0.4741,0.00650555318341354,0.5695,0.0136565002837476,0.05
"B-145",1,0.593599932182311,0.0115683368452186,0.535653459890873,0.00498866705579425,0.605996519327164,0.012822695658626,0.57,0,0.5445,0.00866987120242662,0.5456,0.010112698288126,0.532522,0.00798667612687251,0.5435,0.00313581462037113,0.6636,0.0189631221058137,0.05
"B-146",0,0.281523204917964,0.0128226175226816,0.511406030909383,0.00717502827002956,0.306835433840752,0.00745433339169897,0.422,0,0.4262,0.00882924433660977,0.442,0.0121472447721924,0.433079,0.0163706753067795,0.4271,0.00453259797957468,0.1228,0.017497936386265,0.05
"B-147",0,0.127575661232686,0.00825650328204383,0.459553289910124,0.00673617434905741,0.259212562441826,0.0107092497538381,0.342,0,0.2762,0.0241651723675946,0.2092,0.0189900558772802,0.290739,0.0256113232119441,0.2912,0.0218723569831877,-0.1582,0.0146120194056507,0.05
"B-148",0,0.259187757211535,0.0092398429598481,0.497128921914015,0.00377434640055655,0.283698958158493,0.0111385389026281,0.489,0,0.4765,0.011413929112176,0.4606,0.00889694079757505,0.476131,0.00927112896157865,0.478,0.00549747416749022,0.1354,0.0207214328118926,0.05
"B-15",0,0.285358735094805,0.0114729908286096,0.517519272206053,0.00433665716427756,0.304079914093018,0.0102123537585582,0.534,0,0.503,0.00371184290855335,0.4989,0.00930292666016693,0.494138,0.00829529960613573,0.5056,0.00414192655120242,0.2215,0.0182223915981288,0.05
"B-150",0,0.109202222607536,0.00883875536829849,0.479047417094755,0.00542424724299642,0.248447948694229,0.0149242779434568,0.509,0,0.4784,0.00967470929795825,0.4425,0.00879709548026444,0.487651,0.0101460867661708,0.4805,0.00554276304943863,-0.0777,0.02515750385074,0.05
"B-151",1,0.598224871329107,0.00626561643634295,0.528193981444765,0.00393959341328212,0.593361014127731,0.0083801608865997,0.485,0,0.4917,0.00865447860936753,0.5024,0.00804432166879913,0.493607,0.00952358948436285,0.4956,0.00490351347958222,0.6189,0.016079317287884,0.05
"B-152",1,0.316784709097186,0.0160327568930237,0.519889735425546,0.00535930093156677,0.331387531757355,0.0102142670837051,0.475,0,0.4908,0.00461398839279954,0.501,0.0116141675934562,0.483518,0.0166854046666207,0.4932,0.00415799096787005,0.2917,0.0145606013306838,0.05
"B-153",0,0.474722922040929,0.0203981080086058,0.506009461253157,0.00173613054358645,0.447169655561447,0.0168972069931618,0.455,0,0.441,0.00728773703635849,0.4291,0.0111499875435905,0.450897,0.0111384569547731,0.4438,0.00423739962188552,0.4198,0.0209433097246405,0.05
"B-154",0,0.571733736179256,0.0153993266334851,0.512991515174792,0.00395741167456652,0.497383484244347,0.0181443465549046,0.444,0,0.4495,0.00667083203206317,0.4774,0.0186975934280324,0.457702,0.0136611938635603,0.4492,0.00614274639988771,0.4875,0.0141598022585063,0.05
"B-155",0,0.606049713943256,0.0059160035258782,0.532856687810773,0.00465507309253339,0.605742079019546,0.010045087090951,0.461,0,0.4688,0.00637355648144911,0.484,0.0105934990547138,0.472677,0.0131089147359938,0.4676,0.00483505716385831,0.5663,0.0134664191396393,0.05
"B-156",0,0.540427733951429,0.015863117703308,0.520320701894015,0.00539447600693548,0.507589000463486,0.0143247592930168,0.558,0,0.5483,0.00926222915333501,0.5486,0.016290419815885,0.542847,0.0115173068321837,0.5516,0.00591044273581371,0.4863,0.0154779412929067,0.05
"B-157",0,0.60395832095085,0.00546194883665677,0.5282178890329,0.00438016570630842,0.579131782054901,0.0102219480769157,0.516,0,0.5099,0.00766594199473664,0.5108,0.00785705627657925,0.497436,0.0112283512196186,0.5123,0.00377270901784558,0.66,0.019731531449265,0.05
"B-159",0,0.296651190470533,0.0145077038539139,0.51364530253948,0.00536259657283855,0.31034200489521,0.0174812011765661,0.531,0,0.5197,0.00781807023646004,0.5125,0.00769198717280956,0.528071,0.00635170746947448,0.5331,0.00499888876540466,0.2298,0.0152592412801045,0.05
"B-161",1,0.600593801121091,0.0084006714369007,0.530715194436279,0.0054337100890723,0.588913631439209,0.0152810217363899,0.503,0,0.5012,0.00513809303146606,0.505,0.0132832392301142,0.493348,0.0125239058515216,0.4976,0.00416866618689693,0.6061,0.0182844803651135,0.05
"B-162",0,0.552649736672213,0.0149377302808187,0.523347693319544,0.0043079105326812,0.530158179998398,0.0118897012840213,0.453,0,0.4778,0.00750999334220743,0.4714,0.0162083654669776,0.481734,0.0070141827749211,0.4773,0.00346570499481868,0.5147,0.0314715038654901,0.05
"B-164",1,0.58277367682486,0.0122641727670296,0.529671969969737,0.00358302631179236,0.53920419216156,0.0120899516199738,0.52,0,0.5336,0.00899629553390358,0.5473,0.0175692281497446,0.52034,0.0086264000473997,0.5328,0.00640832791503889,0.6229,0.0118175951680347,0.05
"B-165",0,0.601964828519615,0.00469508110336794,0.534766730734823,0.00370944622191522,0.602834105491638,0.0104442372504134,0.571,0,0.5731,0.00833266663999787,0.5625,0.0122315620879391,0.552009,0.0130307256129503,0.5778,0.00549343041985405,0.6789,0.0109893888213433,0.05
"B-166",1,0.54203593928894,0.0161774547899679,0.524799016465273,0.00200712214842773,0.537333989143372,0.0183173657688348,0.445,0,0.4283,0.00974166310236605,0.4591,0.0148057796522544,0.452557,0.0110058520292111,0.4311,0.00760774459204421,0.4754,0.0206677419075127,0.05
"B-167",0,0.294745934490252,0.0129690697239317,0.513080838267867,0.00453332591240665,0.309856298565865,0.0145139444453926,0.502,0,0.4939,0.0111200519583119,0.4868,0.0078429019572548,0.500559,0.0104128504476173,0.5,0.00346410161513776,0.2394,0.0231670263761043,0.05
"B-169",0,0.604620068703262,0.005147025323328,0.535032411989045,0.00376496113974444,0.595619207620621,0.0098043626045318,0.614,0,0.6353,0.015384335467539,0.6229,0.00925502866314069,0.615078,0.00774720852952855,0.6342,0.00633859430613585,0.6805,0.0164941066916506,0.05
"B-171",1,0.5490028752666,0.0140443595729373,0.524005912048106,0.00369554537053235,0.536132657527924,0.0158755854599578,0.493,0,0.4889,0.0089125379849588,0.5167,0.0119447803570337,0.481098,0.00701784044022408,0.4852,0.00421109645262767,0.498,0.0126403234839057,0.05
"B-172",1,0.585289650511829,0.0109805857170679,0.528806836613602,0.00287473308279091,0.56857128739357,0.0241857914041982,0.493,0,0.5144,0.00718331399842719,0.5257,0.0120374415886433,0.505323,0.00877727248194006,0.513,0.00616441400296898,0.5994,0.0166413140506792,0.05
"B-173",1,0.556945105941851,0.0157656797987676,0.527469971675959,0.00280385182585394,0.558407759666443,0.0157361660660934,0.493,0,0.5111,0.00665749368923639,0.4945,0.0124387387713635,0.503389,0.0103502812092769,0.5075,0.00445346307196247,0.583,0.0190087699058443,0.05
"B-174",1,0.594748426523166,0.00905301904854762,0.526282726239885,0.00532352490491167,0.579550379514694,0.0161523112775857,0.562,0,0.5321,0.0142552134712572,0.5222,0.0116885509034363,0.512255,0.00996185418930075,0.5302,0.00505085251330022,0.617,0.0169574631226359,0.05
"B-175",1,0.593917513598134,0.014220040224229,0.531646695245045,0.00444357678013011,0.582595580816269,0.0157599287159045,0.554,0,0.562,0.00994428926011749,0.549,0.0160069429380573,0.544358,0.00975452920442602,0.5628,0.00426354052141848,0.6073,0.00958065179874987,0.05
"B-176",1,0.35504994962263,0.00684365966770109,0.519949533233165,0.00420444139222271,0.368526610732079,0.00730213296267354,0.543,0,0.5087,0.0043728963196287,0.5133,0.00966149286831205,0.509003,0.00517007855087544,0.5099,0.0036040101122068,0.3007,0.0127108877214248,0.05
"B-178",0,0.588610809582814,0.0105872007383076,0.524841733477994,0.00496831715182084,0.578683030605316,0.0171850639135355,0.462,0,0.4609,0.00982570325444669,0.462,0.00507718207057592,0.469596,0.0107361033692656,0.4621,0.0066907896893167,0.6028,0.00846955331368387,0.05
"B-181",0,0.546917683150652,0.0177693418810111,0.522105986690893,0.00468147381181476,0.507044762372971,0.0153033140327212,0.509,0,0.5022,0.0056332347131407,0.4789,0.00508702052067591,0.496168,0.00797934945830659,0.4998,0.00475628239512986,0.5873,0.0169052917421998,0.05
"B-182",0,0.592240307303778,0.00851083004332264,0.526315231591606,0.0036174884230735,0.585711818933487,0.0142678158981094,0.553,0,0.581,0.00774596669241484,0.5542,0.013603921003397,0.557453,0.0116120235101381,0.5755,0.00488193950529227,0.6539,0.0133703652405859,0.05
"B-183",0,0.293600725850322,0.0173515545011312,0.451013454054732,0.00537714721069153,0.228199417889118,0.010891655928607,0.332,0,0.2938,0.0264440709590806,0.1635,0.0318581927366328,0.30574,0.012796293734255,0.2977,0.0115667146973066,0.1811,0.0130251892713909,0.05
"B-184",0,0.543103871249831,0.0177453826459765,0.523826674524039,0.00417469735643825,0.522716191411018,0.0158788657263039,0.483,0,0.4767,0.00839378076646963,0.4736,0.00990173946559109,0.481237,0.00873938219275889,0.4755,0.00710633520177593,0.4512,0.0227537542689846,0.05
"B-185",1,0.585200716461734,0.0111541596683714,0.526792274898122,0.00400670651409998,0.58190330862999,0.013552541922886,0.501,0,0.479,0.00812403840463596,0.4837,0.0132836574615411,0.479865,0.00735124819333424,0.4821,0.00395671019352638,0.5681,0.0120871832947134,0.05
"B-186",1,0.604514974798444,0.00818428147986251,0.535747570995751,0.00430990617390248,0.601973032951355,0.0093854828739242,0.575,0,0.5958,0.00862554346113914,0.5795,0.011296508801887,0.562234,0.0107966509210547,0.59,0.00844590630621329,0.7115,0.013393613735243,0.05
"B-191",1,0.575645182434828,0.0115352894918821,0.533168229954794,0.00477643050492092,0.538506484031677,0.0122545163542868,0.544,0,0.5502,0.00835064867739824,0.5687,0.0139287871371168,0.529924,0.0108625607785028,0.5455,0.00662067468868041,0.6242,0.0195436832648187,0.05
"B-192",1,0.601394813666758,0.00583346036486243,0.533844500129959,0.00384814815188715,0.594770866632462,0.0129028174034151,0.541,0,0.5407,0.00766014215127747,0.5411,0.0066407830863536,0.526635,0.00512953593309266,0.5406,0.00459951688284276,0.6152,0.0206279206686256,0.05
"B-193",0,0.605978877695798,0.00803418405479432,0.528421355282597,0.00280027259298541,0.579012537002563,0.0132453632595583,0.459,0,0.4869,0.00886253036352736,0.4796,0.0106479001581428,0.484651,0.00955622246380744,0.4842,0.00689283041363352,0.5872,0.0121271046283384,0.05
"B-194",1,0.6030001263391,0.00634457307416441,0.522915334514058,0.00551215254962219,0.552799534797668,0.0143389066497413,0.467,0,0.495,0.00851143022320248,0.4971,0.0122967927164408,0.499975,0.00633127378793381,0.4994,0.00411501316320293,0.6078,0.0126649121591901,0.05
"B-195",0,0.587117118461973,0.0140797286180727,0.52849289560985,0.00312989568917741,0.563253021240234,0.0163646495887017,0.505,0,0.4592,0.0107579428021036,0.4719,0.00888756934650237,0.473585,0.00659798159372328,0.462,0.00787400787401181,0.5275,0.0187572208318112,0.05
"B-196",1,0.543830125877564,0.0195317466596584,0.525774916676328,0.00431660706139484,0.522959423065186,0.0204178234897463,0.484,0,0.4633,0.00588878406615301,0.4904,0.0112467279192167,0.467317,0.0101900965538987,0.4619,0.00640225654663172,0.4798,0.0192515511640549,0.05
"B-20",0,0.360618495775926,0.00751641488873058,0.527957818172068,0.00420529232244606,0.389325860142708,0.0138117704829104,0.5,0,0.4696,0.00469515116310905,0.4818,0.0135630216233535,0.480277,0.0101517891690743,0.4775,0.00777817459305202,0.285,0.0138964423904505,0.05
"B-200",0,0.584427203558834,0.0132954031266963,0.513138196562367,0.00614371555188581,0.54339354634285,0.0192907700638963,0.44,0,0.4484,0.00994652368083108,0.4609,0.0119485006032835,0.460534,0.0100662474526398,0.4466,0.00665331997326649,0.5875,0.013091557924437,0.05
"B-201",1,0.606938971346043,0.00925685689548771,0.53205321468052,0.00384037543087941,0.608299404382706,0.01113770664828,0.504,0,0.4786,0.0100354925694313,0.4945,0.00991351490530871,0.482701,0.0117611502177484,0.4793,0.00793095202355934,0.6455,0.00784927455954442,0.05
