"model","iteration","corr_iter","MAF","gen"
"EGBLUP",6,0.240526242777581,0.005,"all"
"EGBLUP",7,0.241335548056601,0.005,"all"
"EGBLUP",8,0.243832181806838,0.005,"all"
"EGBLUP",9,0.245090838675161,0.005,"all"
"EGBLUP",10,0.245117592643797,0.005,"all"
"GB",1,0.329227390674131,0.005,"all"
"GB",2,0.317440048018166,0.005,"all"
"GB",3,0.323453322089536,0.005,"all"
"GB",4,0.302126293161739,0.005,"all"
"GB",5,0.319728654459431,0.005,"all"
"GB",6,0.315497131944038,0.005,"all"
"GB",7,0.332223602337068,0.005,"all"
"GB",8,0.316144934338563,0.005,"all"
"GB",9,0.316499523046141,0.005,"all"
"GB",10,0.311869129188396,0.005,"all"
"GBLUP",1,0.242172278886303,0.005,"all"
"GBLUP",2,0.242172278886303,0.005,"all"
"GBLUP",3,0.242172278886303,0.005,"all"
"GBLUP",4,0.242172278886303,0.005,"all"
"GBLUP",5,0.242172278886303,0.005,"all"
"GBLUP",6,0.242172278886303,0.005,"all"
"GBLUP",7,0.242172278886303,0.005,"all"
"GBLUP",8,0.242172278886303,0.005,"all"
"GBLUP",9,0.242172278886303,0.005,"all"
"GBLUP",10,0.242172278886303,0.005,"all"
"LASSO",1,0.248174379827156,0.005,"all"
"LASSO",2,0.24430738825752,0.005,"all"
"LASSO",3,0.245028725660412,0.005,"all"
"LASSO",4,0.243889889654312,0.005,"all"
"LASSO",5,0.246601025420113,0.005,"all"
"LASSO",6,0.245251819922791,0.005,"all"
"LASSO",7,0.245176934036932,0.005,"all"
"LASSO",8,0.246548600594989,0.005,"all"
"LASSO",9,0.245185561170548,0.005,"all"
"LASSO",10,0.246241874396514,0.005,"all"
"LR",1,0.280904634066406,0.005,"all"
"LR",2,0.269698355787563,0.005,"all"
"LR",3,0.275771138910975,0.005,"all"
"LR",4,0.253834380257829,0.005,"all"
"LR",5,0.265204775525693,0.005,"all"
"LR",6,0.268992406174971,0.005,"all"
"LR",7,0.280285854574587,0.005,"all"
"LR",8,0.276714291397772,0.005,"all"
"LR",9,0.270679796329139,0.005,"all"
"LR",10,0.259611423484649,0.005,"all"
